OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh1;1;P6RRRRRR10V3G1P1A1;2;01.02.2020 10:16:45;01.02.2020 11:21:12;3867.400511;360.712917944275;65.3915380835347;10.3079564917877;385.86887235242;69.3161204365802;249.921363365882;41.4068854592208;130.410800696071;63.7686602245824;97.9755690183469;0.000314362493012684;3181.04106637064;0.265188569992497;106;2994;3835.386986
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh1;2;P6RRRRRR10G1P1A1;2;01.02.2020 10:16:45;01.02.2020 11:35:13;4708.633708;444.547700452844;65.6856423878773;10.3546473845583;446.991938316841;84.5941710704896;512.335915065248;103.952525639642;100.4043082361;24.0638440355224;97.9360288318588;0.000308336043974792;3243.21473126818;0.612102217850645;43;3057;4679.88870300001
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh1;3;P6PRRRRR6V2G8P3A1;2;01.02.2020 10:16:45;01.02.2020 11:53:20;5795.056729;381.309986180901;42.681006269096;6.7143797036706;380.345537593599;68.0393041042463;262.536770530145;43.7477784267121;93.5874855251181;19.3269803498508;96.2317022323286;0.000168743587693179;5926.15111288417;0.11921868717357;482;2618;5763.17877900001
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh1;4;P6PRRRRR6G8P3A1;2;01.02.2020 10:16:45;01.02.2020 11:58:56;6131.075053;494.528619707682;62.7184630808876;9.88379049396959;501.236330528575;100.389160939504;555.684043175601;119.224218942682;124.984902103094;53.3969841998493;97.8483964416142;0.000295768872811646;3381.01839620165;0.569341826850328;90;3010;6103.84955100001
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh10;1;P6RRRRRR10V3G1P1A1;2;02.02.2020 05:06:52;02.02.2020 06:38:26;5494.194902;363.499955573486;60.6808591642534;9.56069882133078;392.2505022552;70.8106161115901;299.795234385662;50.9120366526339;110.643909027491;33.4953840371799;98.0359805091281;0.000324038427802762;3086.05373375249;0.266473014716823;111;2989;5468.68785200001
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh10;2;P6RRRRRR10G1P1A1;2;02.02.2020 05:06:52;02.02.2020 06:25:05;4693.018643;490.351221910762;77.394485608441;12.2173455177874;501.891088153096;100.595874671812;420.251111089415;77.6311477598695;131.950141954323;67.0698499761086;99.0302788497419;0.000656446994425894;1523.35224091408;0.946457072654551;46;3054;4667.560189
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh10;3;P6PRRRRR6V2G8P3A1;2;02.02.2020 05:06:52;02.02.2020 06:59:12;6740.437423;370.791011895172;41.654852430953;6.55248253567252;369.742176409203;65.6297640719491;853.074440774969;425.573634139421;204.902621623198;787.690481351059;95.5571066692058;0.000143056751964755;6990.23280108002;0.694125930664626;607;2493;6711.585653
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh10;4;P6PRRRRR6G8P3A1;2;02.02.2020 05:06:52;02.02.2020 06:52:29;6336.586586;397.336661196713;45.1431281206944;7.10297532430876;396.392126212145;71.7919177790352;247.097750591327;40.8882575665401;81.7970577251323;13.2495740839857;94.1794053098746;0.000109068729160227;9168.53077595649;0.106975958565322;180;2920;6307.866994
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh11;1;P6RRRRRR10V3G1P1A1;2;02.02.2020 07:10:08;02.02.2020 08:42:30;5542.176685;365.855605103474;57.3157439117849;9.02754053974607;374.780442232085;66.7679896002857;528.084812024454;109.23657291225;119.362201812016;44.4534177189294;96.5827206576165;0.000186115369297999;5373.0113948776;0.522924841303288;125;2975;5517.801005
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh11;2;P6RRRRRR10G1P1A1;2;02.02.2020 07:10:08;02.02.2020 08:40:49;5441.307563;475.153920768845;68.129896475904;10.7428627477651;471.154364976278;91.3250081793414;621.987351448157;148.138176682182;121.699644806426;47.9697852444642;97.494928251834;0.000254001172041665;3936.98970741744;0.843984559069057;37;3063;5416.74108999999
